lastName,firstName,UID,state,party,district
Moreno,Bernie,M001242,Ohio,Republican,
Moran,Jerry,M000934,Kansas,Republican,
Moody,Ashley,M001244,Florida,Republican,
Merkley,Jeff,M001176,Oregon,Democratic,
McCormick,David,M001243,Pennsylvania,Republican,
McConnell,Mitch,M000355,Kentucky,Republican,
Marshall,Roger,M001198,Kansas,Republican,
Markey,Edward,M000133,Massachusetts,Democratic,
Lummis,Cynthia,L000571,Wyoming,Republican,
Luján,Ben,L000570,New Mexico,Democratic,
Lee,Mike,L000577,Utah,Republican,
Lankford,James,L000575,Oklahoma,Republican,
Klobuchar,Amy,K000367,Minnesota,Democratic,
King,Angus,K000383,Maine,Independent,
Kim,Andy,K000394,New Jersey,Democratic,
Kennedy,John,K000393,Louisiana,Republican,
Kelly,Mark,K000377,Arizona,Democratic,
Kaine,Tim,K000384,Virginia,Democratic,
Justice,James,J000312,West Virginia,Republican,
Johnson,Ron,J000293,Wisconsin,Republican,
Hyde-Smith,Cindy,H001079,Mississippi,Republican,
Husted,Jon,H001104,Ohio,Republican,
Hoeven,John,H001061,North Dakota,Republican,
Hirono,Mazie,H001042,Hawaii,Democratic,
Hickenlooper,John,H000273,Colorado,Democratic,
Heinrich,Martin,H001046,New Mexico,Democratic,
Hawley,Josh,H001089,Missouri,Republican,
Hassan,Margaret,H001076,New Hampshire,Democratic,
Hagerty,Bill,H000601,Tennessee,Republican,
Grassley,Chuck,G000386,Iowa,Republican,
Graham,Lindsey,G000359,South Carolina,Republican,
Gillibrand,Kirsten,G000555,New York,Democratic,
Gallego,Ruben,G000574,Arizona,Democratic,
Fischer,Deb,F000463,Nebraska,Republican,
Fetterman,John,F000479,Pennsylvania,Democratic,
Ernst,Joni,E000295,Iowa,Republican,
Durbin,Richard,D000563,Illinois,Democratic,
Duckworth,Tammy,D000622,Illinois,Democratic,
Daines,Steve,D000618,Montana,Republican,
Curtis,John,C001114,Utah,Republican,
Cruz,Ted,C001098,Texas,Republican,
Crapo,Mike,C000880,Idaho,Republican,
Cramer,Kevin,C001096,North Dakota,Republican,
Cotton,Tom,C001095,Arkansas,Republican,
Cortez Masto,Catherine,C001113,Nevada,Democratic,
Cornyn,John,C001056,Texas,Republican,
Coons,Christopher,C001088,Delaware,Democratic,
Collins,Susan,C001035,Maine,Republican,
Cassidy,Bill,C001075,Louisiana,Republican,
Capito,Shelley,C001047,West Virginia,Republican,
Cantwell,Maria,C000127,Washington,Democratic,
Budd,Ted,B001305,North Carolina,Republican,
Britt,Katie,B001319,Alabama,Republican,
Boozman,John,B001236,Arkansas,Republican,
Booker,Cory,B001288,New Jersey,Democratic,
Blunt Rochester,Lisa,B001303,Delaware,Democratic,
Blumenthal,Richard,B001277,Connecticut,Democratic,
Blackburn,Marsha,B001243,Tennessee,Republican,
Bennet,Michael,B001267,Colorado,Democratic,
Barrasso,John,B001261,Wyoming,Republican,
Banks,Jim,B001299,Indiana,Republican,
Baldwin,Tammy,B001230,Wisconsin,Democratic,
Alsobrooks,Angela,A000382,Maryland,Democratic,
Frost,Maxwell,F000476,Florida,Democratic,10
Menefee,Christian,M001245,Texas,Democratic,18
Ottinger,Richard,O000134,New York,Democratic,20
Crenshaw,Dan,C001120,Texas,Republican,2
Latta,Robert,L000566,Ohio,Republican,5
Hamilton,Lee,H000114,Indiana,Democratic,9
Cline,Ben,C001118,Virginia,Republican,6
Costa,Jim,C001059,California,Democratic,21
Whalley,John,W000320,Pennsylvania,Republican,12
Watts,John,W000212,Kentucky,Democratic,6
Thompson,Standish,T000217,Georgia,Republican,5
Terry,John,T000134,New York,Republican,34
Springer,William,S000756,Illinois,Republican,22
Spong,William,S000739,Virginia,Democratic,
Smith,Margaret,S000590,Maine,Republican,
Smith,H.,S000545,California,Republican,20
Schwengel,Frederick,S000161,Iowa,Republican,1
Schmitz,John,S000133,California,Republican,35
Ryan,William,R000562,New York,Democratic,20
Russell,Richard,R000536,Georgia,Democratic,
Reid,Charlotte,R000143,Illinois,Republican,15
Purcell,Graham,P000569,Texas,Democratic,13
Pucinski,Roman,P000559,Illinois,Democratic,11
Prouty,Winston,P000552,Vermont,Republican,
Poff,Richard,P000401,Virginia,Republican,6
Pirnie,Alexander,P000366,New York,Republican,32
Pelly,Thomas,P000196,Washington,Republican,1
